scientificName
Cyperus berroi
Cyperus compressus
Cyperus cuspidatus
Cyperus distans
Cyperus entrerianus
Cyperus eragrostis
Cyperus haspan
Cyperus hermaphroditus
Cyperus iria
Cyperus laxus
Cyperus ligularis
Cyperus luzulae
Cyperus odoratus
Cyperus planifolius
Cyperus reflexus
Cyperus rotundus
Cyperus schomburgkianus
Cyperus squarrosus
Cyperus surinamensis
Cyperus uncinulatus
Cyperus virens
Eleocharis flavescens
Eleocharis interstincta
Eleocharis minima
Eleocharis montana
Eleocharis obpyriformis
Eleocharis setifolia
Fimbristylis dichotoma
Fimbristylis vahlii
Fuirena umbellata
Kyllinga brevifolia
Kyllinga odorata
Kyllinga pumila
Lipocarpha micrantha
Lipocarpha salzmanniana
Oxycaryum cubense
Pterolepis trichotoma
Pycreus capillifolius
Pycreus flavescens
Pycreus fugax
Pycreus lanceolatus
Pycreus macrostachyos
Pycreus pelophilus
Pycreus piceus
Pycreus polystachyos
Rhynchospora aberrans
Rhynchospora barbata
Rhynchospora brevirostris
Rhynchospora calderana
Rhynchospora caracasana
Rhynchospora cephalotes
Rhynchospora contracta
Rhynchospora corymbosa
Rhynchospora diodon
Rhynchospora emaciata
Rhynchospora exaltata
Rhynchospora exilis
Rhynchospora eximia
Rhynchospora holoschoenoides
Rhynchospora junciformis
Rhynchospora pubera
Rhynchospora radicans
Rhynchospora ridleyi
Rhynchospora riparia
Rhynchospora tenuis
Scleria atroglumis
Scleria bracteata
Scleria cyperina
Scleria gaertneri
Scleria interrupta
Scleria latifolia
Scleria reticularis
Scleria scandens
Scleria secans
Scleria valdemuricata
Trilepis lhotzkiana
Curatella americana
Davilla cearensis
Doliocarpus dentatus
Doliocarpus elegans
Doliocarpus elliptifolius
Tetracera empedoclea
Dioscorea adenantha
Dioscorea altissima
Dioscorea amaranthoides
Dioscorea basiclavicaulis
Dioscorea campestris
Dioscorea cinnamomifolia
Dioscorea coronata
Dioscorea dodecaneura
Dioscorea glandulosa
Dioscorea hassleriana
Dioscorea laxiflora
Dioscorea leptostachya
Dioscorea marginata
Dioscorea mucronata
Dioscorea orthogoneura
Dioscorea ovata
Dioscorea piauhyensis
Dioscorea piperifolia
Dioscorea planistipulosa
Dioscorea polygonoides
Dioscorea psammophila
Dioscorea sincorensis
Dioscorea sinuata
Drosera montana
Diospyros hispida
Diospyros inconstans
Diospyros sericea
Eriocaulon cinereum
Paepalanthus bifidus
Paepalanthus lamarckii
Paepalanthus myocephalus
Paepalanthus parvus
Erythroxylum affine
Erythroxylum barbatum
Erythroxylum betulaceum
Erythroxylum bezerrae
Erythroxylum caatingae
Erythroxylum columbinum
Erythroxylum deciduum
Erythroxylum laetevirens
Erythroxylum loefgrenii
Erythroxylum longisetulosum
Erythroxylum macrocalyx
Erythroxylum macrochaetum
Erythroxylum maracasense
Erythroxylum nordestinum
Erythroxylum nummularia
Erythroxylum oxypetalum
Erythroxylum pauferrense
Erythroxylum petrae-caballi
Erythroxylum petrae-caballi
Erythroxylum polygonoides
Erythroxylum pulchrum
Erythroxylum pungens
Erythroxylum revolutum
Erythroxylum rimosum
Erythroxylum rosuliferum
Erythroxylum stipulosum
Erythroxylum subrotundum
Erythroxylum tianguanum
Erythroxylum vacciniifolium
Acalypha amblyodonta
Acalypha arciana
Acalypha brasiliensis
Acalypha communis
Acalypha fragilis
Acalypha gracilis
Acalypha multicaulis
Acalypha noronhae
